date,store_nbr,family,type,cluster,sales,onpromotion,dcoilwtico,holiday,before_holiday,after_holiday,special_day,store_closed,disaster,payday,sales_lag_1,sales_lag_2,sales_lag_7,pct_change,sales_window_7,sales_window_14,sales_window_30,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)","sin(5,freq=YE-DEC)","cos(5,freq=YE-DEC)","sin(6,freq=YE-DEC)","cos(6,freq=YE-DEC)","sin(7,freq=YE-DEC)","cos(7,freq=YE-DEC)","sin(8,freq=YE-DEC)","cos(8,freq=YE-DEC)","sin(9,freq=YE-DEC)","cos(9,freq=YE-DEC)","sin(10,freq=YE-DEC)","cos(10,freq=YE-DEC)","sin(11,freq=YE-DEC)","cos(11,freq=YE-DEC)","sin(12,freq=YE-DEC)","cos(12,freq=YE-DEC)"
1/2/2013,0,12,3,12,7.883446354,0,0.992007886,0,0,1,0,0,0,0.25,,,,1,,,,0,1,0,0,0,0,0,0.017213356,0.999851839,0.034421612,0.999407401,0.051619667,0.998666816,0.068802427,0.997630305,0.085964799,0.996298175,0.103101697,0.99467082,0.120208045,0.992748722,0.137278772,0.990532452,0.154308821,0.988022666,0.171293144,0.985220107,0.18822671,0.982125606,0.2051045,0.97874008
1/3/2013,0,12,3,12,7.660114319,0,0.985375157,0,0,0,0,0,0,0.125,7.883446354,,,1,7.883446354,7.883446354,7.883446354,0,0,1,0,0,0,0,0.034421612,0.999407401,0.068802427,0.997630305,0.103101697,0.99467082,0.137278772,0.990532452,0.171293144,0.985220107,0.2051045,0.97874008,0.238672766,0.971100052,0.271958158,0.962309077,0.304921225,0.952377576,0.3375229,0.941317318,0.369724543,0.929141411,0.401487989,0.915864288
1/4/2013,0,12,3,12,7.62900389,0,0.991227565,0,0,0,0,0,0,0.0625,7.660114319,7.883446354,,-0.200226244,7.778002072,7.778002072,7.778002072,0,0,0,1,0,0,0,0.051619667,0.998666816,0.103101697,0.99467082,0.154308821,0.988022666,0.2051045,0.97874008,0.255353295,0.966847814,0.304921225,0.952377576,0.353676122,0.935367949,0.401487989,0.915864288,0.448229342,0.893918597,0.49377555,0.869589389,0.538005172,0.842941537,0.580800273,0.814046094
1/5/2013,0,12,3,12,7.70391021,0,0.991227565,0,0,0,0,0,0,0.03125,7.62900389,7.660114319,,-0.030645922,7.730760447,7.730760447,7.730760447,0,0,0,0,1,0,0,0.068802427,0.997630305,0.137278772,0.990532452,0.2051045,0.97874008,0.271958158,0.962309077,0.3375229,0.941317318,0.401487989,0.915864288,0.463550271,0.886070622,0.523415607,0.852077521,0.580800273,0.814046094,0.635432301,0.772156584,0.687052767,0.726607525,0.735417023,0.677614789
1/6/2013,0,12,3,12,6.584791392,0,0.991227565,0,0,0,0,0,0,0.015625,7.70391021,7.62900389,,0.077821012,7.724115172,7.724115172,7.724115172,0,0,0,0,0,1,0,0.085964799,0.996298175,0.171293144,0.985220107,0.255353295,0.966847814,0.3375229,0.941317318,0.417193603,0.908817637,0.49377555,0.869589389,0.566701756,0.823923006,0.635432301,0.772156584,0.699458327,0.714673386,0.758305808,0.651898996,0.811539059,0.584298174,0.858763958,0.512371412
1/7/2013,0,12,3,12,7.724446646,0,0.994348849,0,0,0,0,0,0,0.0078125,6.584791392,7.70391021,,-0.673736462,7.577940848,7.577940848,7.577940848,0,0,0,0,0,0,1,0.103101697,0.99467082,0.2051045,0.97874008,0.304921225,0.952377576,0.401487989,0.915864288,0.49377555,0.869589389,0.580800273,0.814046094,0.661634618,0.749826401,0.735417023,0.677614789,0.801361088,0.598180914,0.858763958,0.512371412,0.907013813,0.421100871,0.945596387,0.325342085
1/8/2013,0,12,3,12,7.486052618,0,0.99473901,0,0,0,0,0,0,0.00390625,7.724446646,6.584791392,,2.128630705,7.603897969,7.603897969,7.603897969,1,0,0,0,0,0,0,0.120208045,0.992748722,0.238672766,0.971100052,0.353676122,0.935367949,0.463550271,0.886070622,0.566701756,0.823923006,0.661634618,0.749826401,0.746972088,0.664855398,0.821476553,0.570242293,0.88406751,0.467359217,0.933837229,0.357698239,0.970063922,0.242849722,0.992222209,0.124479264
1/9/2013,0,12,3,12,7.795646536,0,0.989666923,0,0,0,0,0,0,0.001953125,7.486052618,7.724446646,7.883446354,-0.212201592,7.587889587,7.587889587,7.587889587,0,1,0,0,0,0,0,0.137278772,0.990532452,0.271958158,0.962309077,0.401487989,0.915864288,0.523415607,0.852077521,0.635432301,0.772156584,0.735417023,0.677614789,0.821476553,0.570242293,0.891981346,0.452072204,0.945596387,0.325342085,0.98130647,0.192451582,0.998435421,0.05591699,0.996658902,-0.081676395
1/10/2013,0,12,3,12,7.342779189,0,1.018148641,0,0,0,0,0,0,0.000976563,7.795646536,7.486052618,7.660114319,0.363075196,7.571620762,7.616345106,7.616345106,0,0,1,0,0,0,0,0.154308821,0.988022666,0.304921225,0.952377576,0.448229342,0.893918597,0.580800273,0.814046094,0.699458327,0.714673386,0.801361088,0.598180914,0.88406751,0.467359217,0.945596387,0.325342085,0.984473817,0.17553149,0.999768502,0.021516097,0.991114064,-0.133014707,0.958717817,-0.284359187
1/11/2013,0,12,3,12,7.467942332,0,1.00995527,0,0,0,0,0,0,0.000488281,7.342779189,7.795646536,7.62900389,-0.364347468,7.528254959,7.589392023,7.589392023,0,0,0,1,0,0,0,0.171293144,0.985220107,0.3375229,0.941317318,0.49377555,0.869589389,0.635432301,0.772156584,0.758305808,0.651898996,0.858763958,0.512371412,0.933837229,0.357698239,0.98130647,0.192451582,0.999768502,0.021516097,0.98867759,-0.150055398,0.94836158,-0.317191289,0.880012204,-0.474951072
