id,date,store_nbr,family,sales,onpromotion,dcoilwtico,holiday,"s(1,7)","s(2,7)","s(3,7)","s(4,7)","s(5,7)","s(6,7)","s(7,7)","sin(1,freq=YE-DEC)","cos(1,freq=YE-DEC)","sin(2,freq=YE-DEC)","cos(2,freq=YE-DEC)","sin(3,freq=YE-DEC)","cos(3,freq=YE-DEC)","sin(4,freq=YE-DEC)","cos(4,freq=YE-DEC)",sales_lag_1,sales_lag_7
2536924,2016-11-27,40,HOME AND KITCHEN II,17.0,2,46.72,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5653446739747432,0.8248547748594242,-0.9326545075388227,0.36077079921678257,-0.9732643737003822,-0.22968774213179677,-0.6729490241558317,-0.739688860864968,24.0,18.0
2955489,2017-07-21,35,DELI,90.0,24,45.78,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.31310704093582625,-0.9497178427914318,0.5947266869607629,0.8039279618328217,-0.8165380514459161,-0.5772916165517272,0.9562348265919053,0.2926003356333495,83.0,157.0
2712134,2017-03-06,7,PREPARED FOODS,182.243,0,53.19,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8919813464595485,0.45207220393230435,0.8064799463209448,-0.5912614448635781,-0.16280701293851646,-0.9866579328916572,-0.9536809966304455,-0.300819807635668,238.31,147.334
2830558,2017-05-12,3,HOME AND KITCHEN II,44.0,3,47.83,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.7748840413670407,-0.6321034111873487,-0.9796136916454901,-0.20089055513063528,0.4635502709028508,0.8860706215341381,0.39359027665646695,-0.9192859697186104,42.0,74.0
949783,2014-06-18,9,EGGS,257.0,0,106.64,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.24702218048093594,-0.9690098257244061,-0.47873384011578907,0.8779600847008878,0.6807734094770164,-0.7324940716135787,-0.840618405634479,0.5416278206559803,200.0,124.0
440833,2013-09-05,28,LADIESWEAR,0.0,0,108.5,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,0.18822670984324494,0.9821256058680005,-0.9634705485641487,-0.26781430516217447,0.0,0.0
2389045,2016-09-05,41,EGGS,140.0,0,44.39,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8982917515547529,-0.43939950965914165,0.7894179103280198,-0.6138561418226118,0.20455206612620064,0.9788556850953579,-0.9691780654392536,-0.24636127429331497,181.0,112.0
2765066,2017-04-05,41,PREPARED FOODS,71.326996,1,51.14,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9988797155850336,-0.04732138832243185,-0.09453674981719933,-0.9955213724144752,-0.989932495087353,0.141540295217043,0.1882267098432443,0.9821256058680006,48.964,46.301
545929,2013-11-03,27,EGGS,279.0,0,94.56,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8498170915275282,0.5270777086423716,-0.8958392907349083,-0.44437817810461444,-0.09453674981719751,-0.9955213724144754,0.796182863782617,-0.6050560696488472,201.0,332.0
1914988,2015-12-13,4,SCHOOL AND OFFICE SUPPLIES,0.0,0,35.65,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.32126966169236515,0.9469877530760751,-0.6084768701151273,0.7935716089521465,-0.8311706263658092,0.5560174366570427,-0.9657399376548557,0.259511797069797,0.0,0.0
2044708,2016-02-25,3,POULTRY,857.243,0,31.4,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8100248628547752,0.5863955333706957,0.949989922994501,-0.3122805568857946,0.304114832327518,-0.9526353808033825,-0.5933267643772318,-0.804961707582196,1020.145,864.154
1244395,2014-12-01,24,SCHOOL AND OFFICE SUPPLIES,0.0,0,68.98,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5086709438521049,0.8609610158889941,-0.8758917051442434,0.4825077417612174,-0.9995462806873573,-0.03012030484690885,-0.845249057353062,-0.5343725582809806,1.0,0.0
2079766,2016-03-16,14,CLEANING,724.0,0,38.43,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9601498736716018,0.2794856348516095,0.5366961939916005,-0.8437755598231856,-0.6601521206712319,-0.7511319308705199,-0.9057022630804715,0.42391439070986053,841.0,978.0
2167314,2016-05-04,20,CELEBRATION,6.0,0,43.77,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.848351197812304,-0.5294338912181852,-0.8982917515547529,-0.43939950965914165,0.10282099713736031,0.9946998756145891,0.7894179103280198,-0.6138561418226118,3.0,9.0
959904,2014-06-24,42,AUTOMOTIVE,0.0,0,106.64,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14579919691987467,-0.9893142039703663,-0.288482432880609,0.9574851883550393,0.42500033996955316,-0.9051931898913979,-0.5524353131676197,0.8335557718385699,0.0,0.0
92248,2013-02-21,47,GROCERY II,40.0,0,92.79,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7694148268839378,0.6387494220515272,0.9829265519799822,-0.18399835165768005,0.4862727071086904,-0.8738071036110806,-0.3617137307297674,-0.9322892131745134,34.0,39.0
2063070,2016-03-06,45,DELI,1150.737,1,35.91,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.8982917515547529,0.43939950965914154,0.7894179103280197,-0.6138561418226121,-0.204552066126201,-0.9788556850953578,-0.9691780654392537,-0.2463612742933145,868.244,964.225
840581,2014-04-18,44,BREAD/BAKERY,1051.827,0,104.33,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9634705485641488,-0.2678143051621742,-0.5160623910158526,-0.8565509959010037,-0.6870527672236668,0.7266075247685657,0.8840675099433635,0.46735921715800244,862.46,1019.65
1089870,2014-09-05,39,GROCERY I,4882.016,33,93.32,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8958392907349089,-0.4443781781046134,0.7961828637826157,-0.605056069648849,0.18822670984324494,0.9821256058680005,-0.9634705485641487,-0.26781430516217447,3744.19,3306.659
2487708,2016-10-31,10,BEVERAGES,838.0,39,46.83,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.8744809578310396,0.4850598461951964,-0.8483511978123042,-0.5294338912181848,0.05147875477034589,-0.9986740898848305,0.8982917515547526,-0.4393995096591423,1189.0,946.0
62488,2013-02-05,12,LADIESWEAR,0.0,0,96.68,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5667017562911175,0.8239230057575543,0.9338372288229251,0.3576982388331257,0.9721181966290614,-0.23449138957040944,0.6680638642135338,-0.7441039398713604,0.0,0.0
2428559,2016-09-27,5,MAGAZINES,11.0,0,44.65,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9970175264485267,-0.07717546212664643,0.15389057670406195,-0.9880878960910772,0.9732643737003822,0.22968774213179666,-0.3041148323275182,0.9526353808033825,11.0,6.0
214501,2013-05-01,28,BABY CARE,0.0,0,90.74,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.8800122039735357,-0.47495107206704995,-0.8359254794186365,-0.5488429582847199,-0.08596479873744758,0.9962981749346077,0.9175836260593944,-0.3975428142825545,0.0,0.0
2653787,2017-02-02,2,PET SUPPLIES,5.0,0,53.55,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5234156073655503,0.8520775211013093,0.8919813464595485,0.45207220393230435,0.9966589017541702,-0.08167639533042241,0.8064799463209448,-0.5912614448635781,15.0,9.0
2843633,2017-05-19,46,MAGAZINES,8.0,0,50.32,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.6932812268869777,-0.7206671495538609,-0.9992500112396835,0.03872228089217399,0.7469720876965548,0.664855397964287,-0.07738647923346208,-0.9970011699250152,9.0,7.0
326721,2013-07-03,26,LINGERIE,7.0,0,101.92,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.008606996888688453,-0.9999629591162655,0.017213356155834792,0.9998518392091162,-0.02581844022713348,-0.9996666485105112,0.034421611622745964,0.9994074007397048,10.0,10.0
788324,2014-03-20,28,LAWN AND GARDEN,0.0,0,99.68,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9741004551724205,0.22611568550828828,0.440518784350495,-0.8977433935342337,-0.7748840413670406,-0.6321034111873488,-0.7909456567567774,0.6118864012687242,0.0,0.0
520570,2013-10-20,15,POULTRY,52.554,0,100.87,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.9510565162951536,0.30901699437494723,-0.5877852522924728,-0.8090169943749477,0.5877852522924736,-0.8090169943749471,0.9510565162951533,0.3090169943749482,75.67,62.378998
1127945,2014-09-26,8,BREAD/BAKERY,692.321,1,95.55,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.9951053111006974,-0.09882013873287211,0.19667288979357758,-0.9804691603616318,0.9562348265919053,0.2926003356333495,-0.3856634062436095,0.9226395488404866,608.95703,781.767
1056461,2014-08-17,50,SEAFOOD,43.814,0,97.3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.7055836101071777,-0.7086266782644598,0.9999907397361901,0.004303538296244311,-0.7116566222817752,0.7025274741691564,0.008606996888688745,-0.9999629591162655,26.71,38.685
1242571,2014-11-30,23,"LIQUOR,WINE,BEER",0.0,0,65.94,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.5234156073655503,0.8520775211013093,-0.8919813464595485,0.4520722039323043,-0.9966589017541702,-0.08167639533042159,-0.8064799463209448,-0.5912614448635781,108.0,0.0
2633197,2017-01-21,41,POULTRY,191.20601,0,52.33,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3375228995941133,0.9413173175128471,0.6354323008901774,0.7721565844991642,0.858763958275803,0.5123714121284235,0.9813064702716093,0.19245158197082998,178.581,198.591
16611,2013-01-10,25,GROCERY I,805.0,0,93.81,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15430882066428114,0.9880226656636976,0.304921224656289,0.9523775757303975,0.4482293417404106,0.893918596519257,0.5808002734538008,0.8140460935082179,1024.0,1462.0
2304256,2016-07-20,12,SCHOOL AND OFFICE SUPPLIES,0.0,0,44.96,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.30411483232751824,-0.9526353808033824,0.5794210982045642,0.8150283375168109,-0.7998392447397206,-0.6002142805483667,0.9444892287836617,0.3285423819108334,0.0,0.0
2486854,2016-10-30,36,CLEANING,788.0,32,48.72,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8826787983255472,0.46997674302732034,-0.8296770135526192,-0.5582437220268642,0.10282099713735851,-0.9946998756145893,0.9263239682514944,-0.37672789363518633,912.0,876.0
358691,2013-07-21,23,HARDWARE,0.0,0,108.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.31310704093582625,-0.9497178427914318,0.5947266869607629,0.8039279618328217,-0.8165380514459161,-0.5772916165517272,0.9562348265919053,0.2926003356333495,0.0,0.0
1839526,2015-11-01,23,CLEANING,419.0,1,46.6,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.8674563547295971,0.4975132889071803,-0.863142128049911,-0.5049610547215212,0.008606996888690521,-0.9999629591162655,0.8717063187093227,-0.4900286664290578,625.0,647.0
2028477,2016-02-16,25,AUTOMOTIVE,0.0,0,29.05,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7101350157125358,0.7040655221348057,0.9999631612477099,-0.008583481082086933,0.6979441547663435,-0.7161521883143933,-0.017166329754707124,-0.9998526477050269,2.0,4.0
633812,2013-12-22,42,HARDWARE,0.0,0,99.11,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.1712931441814778,0.9852201067560606,-0.3375228995941137,0.9413173175128469,-0.49377555015997626,0.8695893893466116,-0.6354323008901781,0.7721565844991637,0.0,0.0
958795,2014-06-24,11,GROCERY II,8.0,0,106.64,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14579919691987467,-0.9893142039703663,-0.288482432880609,0.9574851883550393,0.42500033996955316,-0.9051931898913979,-0.5524353131676197,0.8335557718385699,18.0,29.0
89690,2013-02-20,25,PREPARED FOODS,58.966,0,94.92,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7583058084785624,0.6518989958787126,0.9886775902323405,-0.1500553983446526,0.5307300481619334,-0.8475409228928311,-0.2967128192734901,-0.9549667548552553,38.0,94.847
2473329,2016-10-22,7,GROCERY I,3779.0,45,50.61,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-0.9387101892619444,0.3447073839879334,-0.6471606673266054,-0.7623536388483909,0.4925480679538664,-0.870285241030154,0.9867305793119812,0.1623661413307656,4339.0,3633.0
623336,2013-12-16,48,SEAFOOD,15.221,0,97.18,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.27195815753410607,0.9623090774541485,-0.5234156073655513,0.8520775211013086,-0.7354170229639879,0.6776147890466864,-0.8919813464595495,0.45207220393230224,30.512001,9.002
655095,2014-01-04,4,GROCERY I,3899.0,0,93.66,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.051619667223253764,0.998666816288476,0.10310169744743485,0.9946708199115211,0.15430882066428114,0.9880226656636976,0.2051044998686192,0.9787400799669153,2918.0,2957.0
267151,2013-05-30,54,HOME AND KITCHEN II,0.0,0,93.57,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5452404385406513,-0.8382797052177741,-0.9141279881853341,0.4054257283599965,0.9873494423939861,0.1585593851031361,-0.7412220108485946,-0.6712599575675327,0.0,0.0
85534,2013-02-17,9,SCHOOL AND OFFICE SUPPLIES,0.0,0,95.95,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7236440382959124,0.6901733882429719,0.9988797155850336,-0.04732138832243185,0.6551563572090853,-0.7554933140726803,-0.09453674981719933,-0.9955213724144752,0.0,0.0
311006,2013-06-24,35,HARDWARE,0.0,0,95.07,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.14579919691987467,-0.9893142039703663,-0.288482432880609,0.9574851883550393,0.42500033996955316,-0.9051931898913979,-0.5524353131676197,0.8335557718385699,0.0,0.0
523564,2013-10-21,49,LADIESWEAR,0.0,0,99.28,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.9455963874271425,0.32534208471198034,-0.615284599963328,-0.7883050558305252,0.5452404385406499,-0.8382797052177751,0.9700639218515072,0.24284972209593503,0.0,0.0
1391150,2015-02-22,42,BEAUTY,0.0,0,49.95,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7802958510707755,0.6254105729852463,0.9760105506323683,-0.21772323039653177,0.440518784350495,-0.8977433935342337,-0.42500033996955394,-0.9051931898913975,0.0,0.0
2227133,2016-06-06,48,PREPARED FOODS,124.376,0,49.71,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43167285247378384,-0.9020302369860707,-0.7787639308347607,0.6273170968742937,0.9732643737003824,-0.22968774213179582,-0.9770638564833507,-0.21294651993841596,268.391,102.346
